        Offset value    True value      Difference
C13     4.72295e-06     2.1928e-06      2.53015e-06
C23     2.02237e-07     3.09016e-07     -1.0678e-07
C33     9.24423e-08     1.00559e-07     -8.11658e-09
C14     -5.09006e-07    -5.08725e-07    -2.81111e-10
C24     7.84437e-08     7.84122e-08     3.14707e-11
C34     5.92649e-08     5.92157e-08     4.91236e-11
C44     -3.98552e-09    -3.9824e-09     -3.12495e-12
S13     1.03109e-06     2.68012e-07     7.6308e-07
S23     -7.75777e-07    -2.11402e-07    -5.64374e-07
S33     3.8424e-07      1.97201e-07     1.87039e-07
S14     -4.49628e-07    -4.4946e-07     -1.68444e-10
S24     1.48236e-07     1.48155e-07     8.0438e-11
S34     -1.20045e-08    -1.20113e-08    6.74602e-12
S44     6.52018e-09     6.52561e-09     -5.42467e-12

C13     7.25479e-06     2.1928e-06      5.06199e-06
C23     9.56728e-08     3.09016e-07     -2.13343e-07
C33     8.43976e-08     1.00559e-07     -1.61613e-08
C14     -5.09006e-07    -5.08725e-07    -2.81111e-10
C24     7.84437e-08     7.84122e-08     3.14707e-11
C34     5.92649e-08     5.92157e-08     4.91236e-11
C44     -3.98552e-09    -3.9824e-09     -3.12495e-12
S13     1.79412e-06     2.68012e-07     1.52611e-06
S23     -1.34016e-06    -2.11402e-07    -1.12875e-06
S33     5.7118e-07      1.97201e-07     3.73979e-07
S14     -4.49628e-07    -4.4946e-07     -1.68444e-10
S24     1.48236e-07     1.48155e-07     8.0438e-11
S34     -1.20045e-08    -1.20113e-08    6.74602e-12
S44     6.52018e-09     6.52561e-09     -5.42467e-12

C13     9.78664e-06     2.1928e-06      7.59384e-06
C23     -1.08909e-08    3.09016e-07     -3.19907e-07
C33     7.63529e-08     1.00559e-07     -2.4206e-08
C14     -5.09006e-07    -5.08725e-07    -2.81111e-10
C24     7.84437e-08     7.84122e-08     3.14707e-11
C34     5.92649e-08     5.92157e-08     4.91236e-11
C44     -3.98552e-09    -3.9824e-09     -3.12495e-12
S13     2.55715e-06     2.68012e-07     2.28914e-06
S23     -1.90454e-06    -2.11402e-07    -1.69313e-06
S33     7.5812e-07      1.97201e-07     5.60919e-07
S14     -4.49628e-07    -4.4946e-07     -1.68444e-10
S24     1.48236e-07     1.48155e-07     8.0438e-11
S34     -1.20045e-08    -1.20113e-08    6.74602e-12
S44     6.52018e-09     6.52561e-09     -5.42467e-12

C13     1.23185e-05     2.1928e-06      1.01257e-05
C23     -1.17455e-07    3.09016e-07     -4.26471e-07
C33     6.83082e-08     1.00559e-07     -3.22506e-08
C14     -5.09006e-07    -5.08725e-07    -2.81111e-10
C24     7.84437e-08     7.84122e-08     3.14707e-11
C34     5.92649e-08     5.92157e-08     4.91236e-11
C44     -3.98552e-09    -3.9824e-09     -3.12495e-12
S13     3.32018e-06     2.68012e-07     3.05216e-06
S23     -2.46892e-06    -2.11402e-07    -2.25751e-06
S33     9.4506e-07      1.97201e-07     7.47859e-07
S14     -4.49628e-07    -4.4946e-07     -1.68444e-10
S24     1.48236e-07     1.48155e-07     8.0438e-11
S34     -1.20045e-08    -1.20113e-08    6.74602e-12
S44     6.52018e-09     6.52561e-09     -5.42467e-12

C13     1.48503e-05     2.1928e-06      1.26575e-05
C23     -2.24018e-07    3.09016e-07     -5.33034e-07
C33     6.02635e-08     1.00559e-07     -4.02953e-08
C14     -5.09006e-07    -5.08725e-07    -2.81111e-10
C24     7.84437e-08     7.84122e-08     3.14707e-11
C34     5.92649e-08     5.92157e-08     4.91236e-11
C44     -3.98552e-09    -3.9824e-09     -3.12495e-12
S13     4.0832e-06      2.68012e-07     3.81519e-06
S23     -3.03329e-06    -2.11402e-07    -2.82189e-06
S33     1.132e-06       1.97201e-07     9.34799e-07
S14     -4.49628e-07    -4.4946e-07     -1.68444e-10
S24     1.48236e-07     1.48155e-07     8.0438e-11
S34     -1.20045e-08    -1.20113e-08    6.74602e-12
S44     6.52018e-09     6.52561e-09     -5.42467e-12
